index	title	freq	cl_agl-20	cl_agl-50	cn_agl-20	cn_agl-50
1081	#9. hyperbillirubinemia o	53	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
1082	i.d	53	15	46	cv | id | cardiac [283,370]	id | i-d | i.d. [75,390]
1083	a/b spells	53	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
1084	neural	52	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
1085	nursing progress notes	52	8	6	o | events | d [133,786]	o | events | d [123,792]
1086	swaddled in isolette. a	52	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1087	discharge planning	52	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1088	pcp	52	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1089	pacifier for comfort. a	52	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1090	cares a	52	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1091	heme neg. a	52	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1092	line	52	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
1093	id.	52	15	46	cv | id | cardiac [283,370]	id | i-d | i.d. [75,390]
1094	in ra p	52	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
1095	unchanged. p	52	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1096	monitor. #9 dev	52	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1097	bun/cr	52	8	6	o | events | d [133,786]	o | events | d [123,792]
1098	micu npn 9pm-99pm	52	8	6	o | events | d [133,786]	o | events | d [123,792]
1099	feeding. p	51	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1100	9. [** **] o	51	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1101	#9 &9 o	51	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
1102	9.) family	51	9	28	parenting | 9 | [** **] [74,008]	9 | 9.) fen | 9.) resp [7,896]
1103	-abd	51	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1104	nc. p	51	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1105	vent	51	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
1106	-gen	51	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
1107	heme/onc	51	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1108	-chest	51	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1109	correction to above note	51	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
1110	[**month/year (9) 999**]	50	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1111	pshx	50	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
1112	thus far.a	50	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1113	sucking on pacifier. a	50	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1114	medications	50	6	40	assessment | pmh | allergies [19,974]	allergies | meds | allergy [4,176]
1115	state transition	50	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
1116	ordered.a	50	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1117	9. a/bs	50	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
1118	tw	50	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1119	sounds. a	50	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1120	npn 9p-9a	50	8	6	o | events | d [133,786]	o | events | d [123,792]
1121	nicu nursing note	50	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
1122	dev/neuro	50	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
1123	in room air. p	50	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1124	ob hx	50	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
1125	comfort. p	50	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1126	a/plan	49	13	13	plan | p | a [328,746]	plan | p | a [328,746]
1127	social hx	49	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
1128	social work note addendum	49	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
1129	for comfort. a	49	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1130	#9 mom called this am re	49	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1131	skin/wound	49	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1132	micu npn 9am-9pm	49	8	6	o | events | d [133,786]	o | events | d [123,792]
1133	glu	49	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
1134	remains stable in ra. p	49	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1135	#9soc	49	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1136	#9. cv	49	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
1137	parent. p	49	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1138	discharge	49	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1139	-wt	48	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1140	feeding plan. p	48	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1141	9. a&b's	48	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
1142	perfused. p	48	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1143	projected 99 hr nutrition	48	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1144	onc	48	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1145	#9 pot. for sepsis	48	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1146	[**known lastname 9**]	48	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1147	tmax	48	15	46	cv | id | cardiac [283,370]	id | i-d | i.d. [75,390]
1148	meds include	48	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1149	well.p	48	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1150	error	48	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1151	a's&b's o	48	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1152	x9. a	48	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1153	*plan	47	13	13	plan | p | a [328,746]	plan | p | a [328,746]
1154	#9. sepsis	47	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
1155	covered. a	47	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
1156	questions. a/p	47	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1157	resp distress	47	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
1158	change. a	47	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1159	[**name (ni) 9999**]	47	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1160	chem	47	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
1161	questions re	47	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1162	gu/flds	47	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
1163	breathing comfortably. p	47	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
1164	feed. a	47	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1165	projected 99hr intake	47	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1166	comfortably in ra. p	47	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1167	hernia	47	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
1168	boundaries.a	47	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1169	micu npn 99am-9pm	46	8	6	o | events | d [133,786]	o | events | d [123,792]
1170	dev/pain	46	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
1171	#9 [** 9**] s/o	46	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1172	9. [**name (ni) **]	46	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
1173	mae. a	46	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1174	9.) hyperbili	46	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
1175	[**name9 (ni) 999**]	46	13	13	plan | p | a [328,746]	plan | p | a [328,746]
1176	eye exam	46	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
1177	99. resp	46	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
1178	am. a	46	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1179	acc	46	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
1180	9. parent	46	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1181	9. gd	46	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
1182	mae. fonts soft and flat. a	46	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1183	[**month/day/year **]	46	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1184	concerned. p	45	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1185	nursing note addendum	45	8	6	o | events | d [133,786]	o | events | d [123,792]
1186	nsg addendum	45	8	6	o | events | d [133,786]	o | events | d [123,792]
1187	stable.a	45	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1188	involved [** 99**]. p	45	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1189	neurosensory	45	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
1190	[**location (un) **]	45	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1191	obs	45	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1192	current nsg issues	45	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
1193	#9 - social	45	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1194	mother. p	45	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1195	date. a	45	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1196	prematurity. p	45	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1197	i+d	45	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
1198	#99 sepsis	45	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
1199	g/i	45	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
1200	weight. p	45	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1201	gu/endo	45	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
1202	#9 - [**doctor first name **]	45	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
1203	#9 [**last name (un) 9**]	45	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
1204	applied. a	45	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1205	cvvhdf	45	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
1206	9. ros o	44	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
1207	bottling. p	44	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1208	gi/ gu	44	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
1209	bowel sounds. a	44	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1210	f&n o/a	44	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
1211	#9 [**month/year (9) **]	44	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1212	heme/id/endo	44	8	7	o | events | d [133,786]	data | response | action [9,994]
1213	pot. sepsis	44	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
1214	-i/o	44	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1215	time. a	44	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1216	#9 [**hospital9 99**]	44	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1217	jaundiced. a	44	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1218	current review of systems	44	8	6	o | events | d [133,786]	o | events | d [123,792]
1219	appropriate questions re	44	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1220	feeding well p	44	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
1221	invested parents. p	43	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1222	bedside. p	43	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1223	boundaries in place. a	43	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1224	secretions. p	43	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1225	times. a	43	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1226	#9/#9 o	43	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
1227	9.) parents	43	9	28	parenting | 9 | [** **] [74,008]	9 | 9.) fen | 9.) resp [7,896]
1228	gi/u	43	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
1229	inbetween. afsf. aga. p	43	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1230	skin/wounds	43	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1231	#9cont'ed	43	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
1232	kub	43	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1233	with cares. p	43	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1234	pt device	43	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
1235	gas exchange	43	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
1236	#9 g@d	43	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
1237	desats thus far. p	43	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1238	parents p	43	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
1239	g&d o	43	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
1240	9)f/n	42	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
1241	shift. plan	42	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1242	admit	42	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
1243	monitoring	42	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1244	benign. active bowel sounds. a	42	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1245	heme/endo	42	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
1246	wgt. p	42	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1247	micu nursing addendum	42	8	6	o | events | d [133,786]	o | events | d [123,792]
1248	alt in neuro	42	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
1249	well between cares. a	42	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1250	updated by this rn. p	42	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1251	[** **] in resp	42	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
1252	cx	42	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1253	pacifier when offered. a	42	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1254	benign. a	42	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1255	hours. a	42	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1256	#9fen.o	42	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
1257	pacifier.a	42	0	48	a/b's | npn addendum | caffeine. a [28,763]	pacifier. p | afsf. aga. p | sheepskin. a [4,416]
1258	-resp	41	0	22	a/b's | npn addendum | caffeine. a [28,763]	caffeine. a | stable in ra. p | caffeine. p [4,423]
1259	cares. sucks on pacifier. a	41	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1260	#9cv. o	41	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
1261	retractions. no spells. a	41	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1262	loving family p	41	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1263	*resp	41	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
1264	progress. a	41	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1265	-fen	41	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1266	g-i/endo	41	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
1267	appropriately concerned. p	41	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1268	alt in cv status	41	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
1269	soc.	41	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1270	skin and extremities	41	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1271	#9 par	41	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
1272	infection	41	15	46	cv | id | cardiac [283,370]	id | i-d | i.d. [75,390]
1273	gu/gu	41	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
1274	d/c planning	41	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
1275	no spits. p	41	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1276	fn	41	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
1277	#9 hyperbili o	41	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
1278	9)fen	41	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
1279	term resp distress	41	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
1280	9. heme	40	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
1281	voiding/stooling qs. a	40	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1282	diagnosis	40	8	6	o | events | d [133,786]	o | events | d [123,792]
1283	[**month/day (9) **] o/a	40	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
1284	alt in skin	40	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
1285	d.m.	40	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
1286	ccu	40	8	6	o | events | d [133,786]	o | events | d [123,792]
1287	cont. to monitor. #9 fen	40	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1288	noted thus far today. p	40	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1289	this evening. a	40	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1290	drifts. a	40	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1291	gaining weight. p	40	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1292	[**99-99**]	40	8	6	o | events | d [133,786]	o | events | d [123,792]
1293	9)dev	40	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
1294	neonatology attending pe	40	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
1295	#9skin	40	10	3	bili | #9 bili | 9. bili [13,490]	hyperbilirubinemia. p | 9. skin | #9 skin [2,255]
1296	active bowel sounds. a	40	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1297	*social	40	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
1298	additional information	40	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
1299	on cpap. p	40	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1300	neur	40	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
1301	npn 9a-9p	39	8	6	o | events | d [133,786]	o | events | d [123,792]
1302	developmental	39	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
1303	micu nsg note	39	8	7	o | events | d [133,786]	data | response | action [9,994]
1304	time	39	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1305	volume status	39	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
1306	9a-9p	39	8	6	o | events | d [133,786]	o | events | d [123,792]
1307	99 grams. a	39	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
1308	*neuro	39	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
1309	nutr	39	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
1310	99-99's. a	39	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1311	*cv	39	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
1312	or	39	8	6	o | events | d [133,786]	o | events | d [123,792]
1313	rn. a	39	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1314	stool yet this shift. a	39	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1315	change. p	39	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1316	in fen p	39	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
1317	hepato/renal	39	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
1318	retractions noted. a	39	17	47	feeds. p | tolerating feeds. p | stable. p [16,349]	ordered. a | family p | noted. a [2,836]
1319	alt in family	39	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
1320	desats. p	39	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1321	#[**9-9**] o	39	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
1322	99. p	38	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1323	potential sepsis	38	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
1324	nicu admission note	38	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
1325	goal/plan	38	13	13	plan | p | a [328,746]	plan | p | a [328,746]
1326	wt. p	38	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1327	gestational age. p	38	0	10	a/b's | npn addendum | caffeine. a [28,763]	parents. p | sepsis. p | updated mom. a/p [13,551]
1328	full code all	38	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
